Year,Month,Day,Hour,DNI
2024,1,10,19,0
2024,1,10,20,0
2024,1,10,21,0
2024,1,10,22,0
2024,1,10,23,0
2024,1,11,0,0
2024,1,11,1,0
2024,1,11,2,0
2024,1,11,3,0
2024,1,11,4,0
2024,1,11,5,0
2024,1,11,6,0
2024,1,11,7,13.47
2024,1,11,8,251.43
2024,1,11,9,519.97
2024,1,11,10,651.96
2024,1,11,11,755.23
2024,1,11,12,794.81
2024,1,11,13,751.31
2024,1,11,14,521.85
2024,1,11,15,284.38
2024,1,11,16,50.97
2024,1,11,17,0
2024,1,11,18,0
2024,1,11,19,0
2024,1,11,20,0
2024,1,11,21,0
2024,1,11,22,0
2024,1,11,23,0
2024,1,12,0,0
2024,1,12,1,0
2024,1,12,2,0
2024,1,12,3,0
2024,1,12,4,0
2024,1,12,5,0
2024,1,12,6,0
2024,1,12,7,0
2024,1,12,8,0
2024,1,12,9,0.86
2024,1,12,10,8.3
2024,1,12,11,12
2024,1,12,12,1.91
2024,1,12,13,26.15
2024,1,12,14,30.32
2024,1,12,15,22.5
2024,1,12,16,3.99
2024,1,12,17,0
2024,1,12,18,0
2024,1,12,19,0
2024,1,12,20,0
2024,1,12,21,0
2024,1,12,22,0
2024,1,12,23,0
2024,1,13,0,0
2024,1,13,1,0
2024,1,13,2,0
2024,1,13,3,0
2024,1,13,4,0
2024,1,13,5,0
2024,1,13,6,0
2024,1,13,7,48.36
2024,1,13,8,292.68
2024,1,13,9,291.86
2024,1,13,10,237.94
2024,1,13,11,79.97
2024,1,13,12,319.69
2024,1,13,13,397.79
2024,1,13,14,248.33
2024,1,13,15,125.74
2024,1,13,16,16.9
2024,1,13,17,0
2024,1,13,18,0
2024,1,13,19,0
2024,1,13,20,0
2024,1,13,21,0
2024,1,13,22,0
2024,1,13,23,0
2024,1,14,0,0
2024,1,14,1,0
2024,1,14,2,0
2024,1,14,3,0
2024,1,14,4,0
2024,1,14,5,0
2024,1,14,6,0
2024,1,14,7,0
2024,1,14,8,4.75
2024,1,14,9,8.46
2024,1,14,10,12.21
2024,1,14,11,13.78
2024,1,14,12,1.21
2024,1,14,13,14.21
2024,1,14,14,23.22
2024,1,14,15,33.92
2024,1,14,16,5.29
2024,1,14,17,0
2024,1,14,18,0
2024,1,14,19,0
2024,1,14,20,0
2024,1,14,21,0
2024,1,14,22,0
2024,1,14,23,0
2024,1,15,0,0
2024,1,15,1,0
2024,1,15,2,0
2024,1,15,3,0
2024,1,15,4,0
2024,1,15,5,0
2024,1,15,6,0
2024,1,15,7,7.31
2024,1,15,8,210.48
2024,1,15,9,492.88
2024,1,15,10,622.92
2024,1,15,11,627.15
2024,1,15,12,702.33
2024,1,15,13,631.86
2024,1,15,14,544.85
2024,1,15,15,355.85
2024,1,15,16,58.85
2024,1,15,17,0
2024,1,15,18,0
2024,1,15,19,0
2024,1,15,20,0
2024,1,15,21,0
2024,1,15,22,0
2024,1,15,23,0
2024,1,16,0,0
2024,1,16,1,0
2024,1,16,2,0
2024,1,16,3,0
2024,1,16,4,0
2024,1,16,5,0
2024,1,16,6,0
2024,1,16,7,8.74
2024,1,16,8,260.28
2024,1,16,9,494.03
2024,1,16,10,602.04
2024,1,16,11,691.79
2024,1,16,12,697.89
2024,1,16,13,656.57
2024,1,16,14,572.6
2024,1,16,15,384.22
2024,1,16,16,80.14
2024,1,16,17,0
2024,1,16,18,0
2024,1,16,19,0
2024,1,16,20,0
2024,1,16,21,0
2024,1,16,22,0
2024,1,16,23,0
2024,1,17,0,0
2024,1,17,1,0
2024,1,17,2,0
2024,1,17,3,0
2024,1,17,4,0
2024,1,17,5,0
2024,1,17,6,0
2024,1,17,7,1.93
2024,1,17,8,37.99
2024,1,17,9,83.35
2024,1,17,10,134.1
2024,1,17,11,151.03
2024,1,17,12,179.83
2024,1,17,13,580.37
2024,1,17,14,559.35
2024,1,17,15,476.28
2024,1,17,16,159.96
2024,1,17,17,0
2024,1,17,18,0
2024,1,17,19,0
2024,1,17,20,0
2024,1,17,21,0
2024,1,17,22,0
2024,1,17,23,0
2024,1,18,0,0
2024,1,18,1,0
2024,1,18,2,0
2024,1,18,3,0
2024,1,18,4,0
2024,1,18,5,0
2024,1,18,6,0
2024,1,18,7,11.16
2024,1,18,8,196.78
2024,1,18,9,331.25
2024,1,18,10,441.98
2024,1,18,11,779.04
2024,1,18,12,735.89
2024,1,18,13,673.1
2024,1,18,14,596.12
2024,1,18,15,454.35
2024,1,18,16,129.79
2024,1,18,17,0
2024,1,18,18,0
2024,1,18,19,0
2024,1,18,20,0
2024,1,18,21,0
2024,1,18,22,0
2024,1,18,23,0
2024,1,19,0,0
2024,1,19,1,0
2024,1,19,2,0
2024,1,19,3,0
2024,1,19,4,0
2024,1,19,5,0
2024,1,19,6,0
2024,1,19,7,59.75
2024,1,19,8,359.32
2024,1,19,9,621.37
2024,1,19,10,728.24
2024,1,19,11,732.03
2024,1,19,12,801.66
2024,1,19,13,803.02
2024,1,19,14,751.49
2024,1,19,15,695.95
2024,1,19,16,324.5
2024,1,19,17,0
2024,1,19,18,0
2024,1,19,19,0
2024,1,19,20,0
2024,1,19,21,0
2024,1,19,22,0
2024,1,19,23,0
2024,1,20,0,0
2024,1,20,1,0
2024,1,20,2,0
2024,1,20,3,0
2024,1,20,4,0
2024,1,20,5,0
2024,1,20,6,0
2024,1,20,7,39.23
2024,1,20,8,250.72
2024,1,20,9,479.16
2024,1,20,10,596.34
2024,1,20,11,579.88
2024,1,20,12,620.05
2024,1,20,13,630.92
2024,1,20,14,511.27
2024,1,20,15,384.15
2024,1,20,16,102.3
2024,1,20,17,0
2024,1,20,18,0
2024,1,20,19,0
2024,1,20,20,0
2024,1,20,21,0
2024,1,20,22,0
2024,1,20,23,0
2024,1,21,0,0
2024,1,21,1,0
2024,1,21,2,0
2024,1,21,3,0
2024,1,21,4,0
2024,1,21,5,0
2024,1,21,6,0
2024,1,21,7,19.37
2024,1,21,8,192.79
2024,1,21,9,316.64
2024,1,21,10,355.4
2024,1,21,11,292.04
2024,1,21,12,241.16
2024,1,21,13,204.7
2024,1,21,14,136.41
2024,1,21,15,87.66
2024,1,21,16,30.25
2024,1,21,17,0
2024,1,21,18,0
2024,1,21,19,0
2024,1,21,20,0
2024,1,21,21,0
2024,1,21,22,0
2024,1,21,23,0
2024,1,22,0,0
2024,1,22,1,0
2024,1,22,2,0
2024,1,22,3,0
2024,1,22,4,0
2024,1,22,5,0
2024,1,22,6,0
2024,1,22,7,8.79
2024,1,22,8,123.96
2024,1,22,9,280
2024,1,22,10,344.11
2024,1,22,11,446.2
2024,1,22,12,496.24
2024,1,22,13,366.99
2024,1,22,14,280.64
2024,1,22,15,164.79
2024,1,22,16,58.99
2024,1,22,17,0
2024,1,22,18,0
2024,1,22,19,0
2024,1,22,20,0
2024,1,22,21,0
2024,1,22,22,0
2024,1,22,23,0
2024,1,23,0,0
2024,1,23,1,0
2024,1,23,2,0
2024,1,23,3,0
2024,1,23,4,0
2024,1,23,5,0
2024,1,23,6,0
2024,1,23,7,21.07
2024,1,23,8,233.26
2024,1,23,9,449.37
2024,1,23,10,576
2024,1,23,11,709.47
2024,1,23,12,841.96
2024,1,23,13,791.93
2024,1,23,14,623.88
2024,1,23,15,406.34
2024,1,23,16,112.39
2024,1,23,17,0
2024,1,23,18,0
2024,1,23,19,0
2024,1,23,20,0
2024,1,23,21,0
2024,1,23,22,0
2024,1,23,23,0
2024,1,24,0,0
2024,1,24,1,0
2024,1,24,2,0
2024,1,24,3,0
2024,1,24,4,0
2024,1,24,5,0
2024,1,24,6,0
2024,1,24,7,33.47
2024,1,24,8,358.41
2024,1,24,9,572.13
2024,1,24,10,746.65
2024,1,24,11,829.05
2024,1,24,12,899.17
2024,1,24,13,916.49
2024,1,24,14,859.12
2024,1,24,15,715.52
2024,1,24,16,373.84
2024,1,24,17,0
2024,1,24,18,0
2024,1,24,19,0
2024,1,24,20,0
2024,1,24,21,0
2024,1,24,22,0
2024,1,24,23,0
2024,1,25,0,0
2024,1,25,1,0
2024,1,25,2,0
2024,1,25,3,0
2024,1,25,4,0
2024,1,25,5,0
2024,1,25,6,0
2024,1,25,7,44.95
2024,1,25,8,415.14
2024,1,25,9,632.99
2024,1,25,10,804.14
2024,1,25,11,874.15
2024,1,25,12,896.03
2024,1,25,13,883.31
2024,1,25,14,806.28
2024,1,25,15,698.6
2024,1,25,16,331.77
2024,1,25,17,0
2024,1,25,18,0
2024,1,25,19,0
2024,1,25,20,0
2024,1,25,21,0
2024,1,25,22,0
2024,1,25,23,0
2024,1,26,0,0
2024,1,26,1,0
2024,1,26,2,0
2024,1,26,3,0
2024,1,26,4,0
2024,1,26,5,0
2024,1,26,6,0
2024,1,26,7,45.45
2024,1,26,8,352.55
2024,1,26,9,598.29
2024,1,26,10,769.34
2024,1,26,11,830.08
2024,1,26,12,896.1
2024,1,26,13,868.96
2024,1,26,14,789.1
2024,1,26,15,644.09
2024,1,26,16,298.49
2024,1,26,17,0
2024,1,26,18,0
2024,1,26,19,0
2024,1,26,20,0
2024,1,26,21,0
2024,1,26,22,0
2024,1,26,23,0
2024,1,27,0,0
2024,1,27,1,0
2024,1,27,2,0
2024,1,27,3,0
2024,1,27,4,0
2024,1,27,5,0
2024,1,27,6,0
2024,1,27,7,21.39
2024,1,27,8,284.94
2024,1,27,9,558.65
2024,1,27,10,712.8
2024,1,27,11,792.34
2024,1,27,12,848.32
2024,1,27,13,822.2
2024,1,27,14,730.12
2024,1,27,15,574.88
2024,1,27,16,242.76
2024,1,27,17,0
2024,1,27,18,0
2024,1,27,19,0
2024,1,27,20,0
2024,1,27,21,0
2024,1,27,22,0
2024,1,27,23,0
2024,1,28,0,0
2024,1,28,1,0
2024,1,28,2,0
2024,1,28,3,0
2024,1,28,4,0
2024,1,28,5,0
2024,1,28,6,0
2024,1,28,7,14.89
2024,1,28,8,254.19
2024,1,28,9,480.39
2024,1,28,10,675.71
2024,1,28,11,865.45
2024,1,28,12,851.05
2024,1,28,13,849.3
2024,1,28,14,692.63
2024,1,28,15,436.12
2024,1,28,16,131.19
2024,1,28,17,0
2024,1,28,18,0
2024,1,28,19,0
2024,1,28,20,0
2024,1,28,21,0
2024,1,28,22,0
2024,1,28,23,0
2024,1,29,0,0
2024,1,29,1,0
2024,1,29,2,0
2024,1,29,3,0
2024,1,29,4,0
2024,1,29,5,0
2024,1,29,6,0
2024,1,29,7,28.88
2024,1,29,8,287.66
2024,1,29,9,533.62
2024,1,29,10,707.1
2024,1,29,11,855.42
2024,1,29,12,871.69
2024,1,29,13,849.99
2024,1,29,14,719.16
2024,1,29,15,470.13
2024,1,29,16,114.24
2024,1,29,17,0
2024,1,29,18,0
2024,1,29,19,0
2024,1,29,20,0
2024,1,29,21,0
2024,1,29,22,0
2024,1,29,23,0
2024,1,30,0,0
2024,1,30,1,0
2024,1,30,2,0
2024,1,30,3,0
2024,1,30,4,0
2024,1,30,5,0
2024,1,30,6,0
2024,1,30,7,4.84
2024,1,30,8,103.57
2024,1,30,9,210.99
2024,1,30,10,336.75
2024,1,30,11,418.56
2024,1,30,12,292.41
2024,1,30,13,132.62
2024,1,30,14,56.69
2024,1,30,15,30.64
2024,1,30,16,10.56
2024,1,30,17,0
2024,1,30,18,0
2024,1,30,19,0
2024,1,30,20,0
2024,1,30,21,0
2024,1,30,22,0
2024,1,30,23,0
